Input Size,Toff_Decomp_Time,Write_Out_Toff_Time,Ttl_Qubits,Toffoli_Gate_Count ,Circ_Depth_Toff
2,0.05768775939941406,-1,9, 68,391
4,0.23322772979736328,-1,17, 206,3034
8,1.6886062622070312,-1,33, 510,17205
16,11.538671970367432,-1,65, 1118,82294
2,0.030189990997314453,-1,10, 46,157
4,0.13230133056640625,-1,18, 150,443
8,0.37381482124328613,-1,34, 374,2685
16,3.193037748336792,-1,66, 822,14644
2,0.0412900447845459,-1,10, 112,274
4,0.08818244934082031,-1,18, 304,450
8,0.1873338222503662,-1,34, 688,626
16,0.38595056533813477,-1,66, 1456,802
2,0.043790340423583984,-1,10, 112,274
4,0.09201335906982422,-1,18, 304,450
8,0.19883990287780762,-1,34, 688,626
16,0.419299840927124,-1,66, 1456,802
